Variant,Batch,Task,Attempt,Start,Goal,SafeOpeningStart,Planned,Executable,Rejected,UsedShortPassage,FailedShortPassage,SafeReroute,Length,RememberedCells
No memory,3,3,3,"(5, 7)","(44, 6)",17,True,False,False,True,True,False,39.414,0
No memory,3,4,1,"(5, 7)","(44, 5)",15,True,False,False,True,True,False,39.828,0
No memory,3,4,2,"(5, 7)","(44, 5)",15,True,False,False,True,True,False,39.828,0
No memory,3,4,3,"(5, 7)","(44, 5)",15,True,False,False,True,True,False,39.828,0
No memory,3,5,1,"(5, 9)","(44, 6)",15,True,False,False,True,True,False,40.243,0
No memory,3,5,2,"(5, 9)","(44, 6)",15,True,False,False,True,True,False,40.243,0
No memory,3,5,3,"(5, 9)","(44, 6)",15,True,False,False,True,True,False,40.243,0
No memory,4,1,1,"(5, 6)","(44, 9)",16,True,False,False,True,True,False,40.243,0
No memory,4,1,2,"(5, 6)","(44, 9)",16,True,False,False,True,True,False,40.243,0
No memory,4,1,3,"(5, 6)","(44, 9)",16,True,False,False,True,True,False,40.243,0
No memory,4,2,1,"(5, 5)","(44, 5)",16,True,False,False,True,True,False,40.657,0
No memory,4,2,2,"(5, 5)","(44, 5)",16,True,False,False,True,True,False,40.657,0
No memory,4,2,3,"(5, 5)","(44, 5)",16,True,False,False,True,True,False,40.657,0
No memory,4,3,1,"(5, 9)","(44, 8)",15,True,False,False,True,True,False,40.243,0
No memory,4,3,2,"(5, 9)","(44, 8)",15,True,False,False,True,True,False,40.243,0
No memory,4,3,3,"(5, 9)","(44, 8)",15,True,False,False,True,True,False,40.243,0
No memory,4,4,1,"(5, 7)","(44, 9)",16,True,False,False,True,True,False,39.828,0
No memory,4,4,2,"(5, 7)","(44, 9)",16,True,False,False,True,True,False,39.828,0
No memory,4,4,3,"(5, 7)","(44, 9)",16,True,False,False,True,True,False,39.828,0
No memory,4,5,1,"(5, 5)","(44, 9)",16,True,False,False,True,True,False,40.657,0
No memory,4,5,2,"(5, 5)","(44, 9)",16,True,False,False,True,True,False,40.657,0
No memory,4,5,3,"(5, 5)","(44, 9)",16,True,False,False,True,True,False,40.657,0
No memory,5,1,1,"(5, 9)","(44, 6)",17,True,False,False,True,True,False,40.243,0
No memory,5,1,2,"(5, 9)","(44, 6)",17,True,False,False,True,True,False,40.243,0
No memory,5,1,3,"(5, 9)","(44, 6)",17,True,False,False,True,True,False,40.243,0
No memory,5,2,1,"(5, 9)","(44, 9)",16,True,False,False,True,True,False,40.657,0
No memory,5,2,2,"(5, 9)","(44, 9)",16,True,False,False,True,True,False,40.657,0
No memory,5,2,3,"(5, 9)","(44, 9)",16,True,False,False,True,True,False,40.657,0
No memory,5,3,1,"(5, 8)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,5,3,2,"(5, 8)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,5,3,3,"(5, 8)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,5,4,1,"(5, 8)","(44, 7)",17,True,False,False,True,True,False,39.414,0
No memory,5,4,2,"(5, 8)","(44, 7)",17,True,False,False,True,True,False,39.414,0
No memory,5,4,3,"(5, 8)","(44, 7)",17,True,False,False,True,True,False,39.414,0
No memory,5,5,1,"(5, 6)","(44, 7)",15,True,False,False,True,True,False,39.414,0
No memory,5,5,2,"(5, 6)","(44, 7)",15,True,False,False,True,True,False,39.414,0
No memory,5,5,3,"(5, 6)","(44, 7)",15,True,False,False,True,True,False,39.414,0
No memory,6,1,1,"(5, 6)","(44, 6)",15,True,False,False,True,True,False,39.828,0
No memory,6,1,2,"(5, 6)","(44, 6)",15,True,False,False,True,True,False,39.828,0
No memory,6,1,3,"(5, 6)","(44, 6)",15,True,False,False,True,True,False,39.828,0
No memory,6,2,1,"(5, 9)","(44, 7)",16,True,False,False,True,True,False,39.828,0
No memory,6,2,2,"(5, 9)","(44, 7)",16,True,False,False,True,True,False,39.828,0
No memory,6,2,3,"(5, 9)","(44, 7)",16,True,False,False,True,True,False,39.828,0
No memory,6,3,1,"(5, 5)","(44, 5)",17,True,False,False,True,True,False,40.657,0
No memory,6,3,2,"(5, 5)","(44, 5)",17,True,False,False,True,True,False,40.657,0
No memory,6,3,3,"(5, 5)","(44, 5)",17,True,False,False,True,True,False,40.657,0
No memory,6,4,1,"(5, 6)","(44, 6)",15,True,False,False,True,True,False,39.828,0
No memory,6,4,2,"(5, 6)","(44, 6)",15,True,False,False,True,True,False,39.828,0
No memory,6,4,3,"(5, 6)","(44, 6)",15,True,False,False,True,True,False,39.828,0
No memory,6,5,1,"(5, 5)","(44, 9)",17,True,False,False,True,True,False,40.657,0
No memory,6,5,2,"(5, 5)","(44, 9)",17,True,False,False,True,True,False,40.657,0
No memory,6,5,3,"(5, 5)","(44, 9)",17,True,False,False,True,True,False,40.657,0
No memory,7,1,1,"(5, 8)","(44, 9)",16,True,False,False,True,True,False,40.243,0
No memory,7,1,2,"(5, 8)","(44, 9)",16,True,False,False,True,True,False,40.243,0
No memory,7,1,3,"(5, 8)","(44, 9)",16,True,False,False,True,True,False,40.243,0
No memory,7,2,1,"(5, 9)","(44, 6)",15,True,False,False,True,True,False,40.243,0
No memory,7,2,2,"(5, 9)","(44, 6)",15,True,False,False,True,True,False,40.243,0
No memory,7,2,3,"(5, 9)","(44, 6)",15,True,False,False,True,True,False,40.243,0
No memory,7,3,1,"(5, 9)","(44, 8)",17,True,False,False,True,True,False,40.243,0
No memory,7,3,2,"(5, 9)","(44, 8)",17,True,False,False,True,True,False,40.243,0
No memory,7,3,3,"(5, 9)","(44, 8)",17,True,False,False,True,True,False,40.243,0
No memory,7,4,1,"(5, 7)","(44, 8)",16,True,False,False,True,True,False,39.414,0
No memory,7,4,2,"(5, 7)","(44, 8)",16,True,False,False,True,True,False,39.414,0
No memory,7,4,3,"(5, 7)","(44, 8)",16,True,False,False,True,True,False,39.414,0
No memory,7,5,1,"(5, 7)","(44, 5)",16,True,False,False,True,True,False,39.828,0
No memory,7,5,2,"(5, 7)","(44, 5)",16,True,False,False,True,True,False,39.828,0
No memory,7,5,3,"(5, 7)","(44, 5)",16,True,False,False,True,True,False,39.828,0
No memory,8,1,1,"(5, 9)","(44, 5)",16,True,False,False,True,True,False,40.657,0
No memory,8,1,2,"(5, 9)","(44, 5)",16,True,False,False,True,True,False,40.657,0
No memory,8,1,3,"(5, 9)","(44, 5)",16,True,False,False,True,True,False,40.657,0
No memory,8,2,1,"(5, 9)","(44, 7)",15,True,False,False,True,True,False,39.828,0
No memory,8,2,2,"(5, 9)","(44, 7)",15,True,False,False,True,True,False,39.828,0
No memory,8,2,3,"(5, 9)","(44, 7)",15,True,False,False,True,True,False,39.828,0
No memory,8,3,1,"(5, 6)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,8,3,2,"(5, 6)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,8,3,3,"(5, 6)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,8,4,1,"(5, 7)","(44, 5)",17,True,False,False,True,True,False,39.828,0
No memory,8,4,2,"(5, 7)","(44, 5)",17,True,False,False,True,True,False,39.828,0
No memory,8,4,3,"(5, 7)","(44, 5)",17,True,False,False,True,True,False,39.828,0
No memory,8,5,1,"(5, 6)","(44, 7)",15,True,False,False,True,True,False,39.414,0
No memory,8,5,2,"(5, 6)","(44, 7)",15,True,False,False,True,True,False,39.414,0
No memory,8,5,3,"(5, 6)","(44, 7)",15,True,False,False,True,True,False,39.414,0
No memory,9,1,1,"(5, 7)","(44, 8)",15,True,False,False,True,True,False,39.414,0
No memory,9,1,2,"(5, 7)","(44, 8)",15,True,False,False,True,True,False,39.414,0
No memory,9,1,3,"(5, 7)","(44, 8)",15,True,False,False,True,True,False,39.414,0
No memory,9,2,1,"(5, 5)","(44, 6)",17,True,False,False,True,True,False,40.243,0
No memory,9,2,2,"(5, 5)","(44, 6)",17,True,False,False,True,True,False,40.243,0
No memory,9,2,3,"(5, 5)","(44, 6)",17,True,False,False,True,True,False,40.243,0
No memory,9,3,1,"(5, 6)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,9,3,2,"(5, 6)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,9,3,3,"(5, 6)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,9,4,1,"(5, 9)","(44, 9)",17,True,False,False,True,True,False,40.657,0
No memory,9,4,2,"(5, 9)","(44, 9)",17,True,False,False,True,True,False,40.657,0
No memory,9,4,3,"(5, 9)","(44, 9)",17,True,False,False,True,True,False,40.657,0
No memory,9,5,1,"(5, 5)","(44, 5)",15,True,False,False,True,True,False,40.657,0
No memory,9,5,2,"(5, 5)","(44, 5)",15,True,False,False,True,True,False,40.657,0
No memory,9,5,3,"(5, 5)","(44, 5)",15,True,False,False,True,True,False,40.657,0
No memory,10,1,1,"(5, 6)","(44, 9)",17,True,False,False,True,True,False,40.243,0
No memory,10,1,2,"(5, 6)","(44, 9)",17,True,False,False,True,True,False,40.243,0
No memory,10,1,3,"(5, 6)","(44, 9)",17,True,False,False,True,True,False,40.243,0
No memory,10,2,1,"(5, 5)","(44, 8)",15,True,False,False,True,True,False,40.243,0
No memory,10,2,2,"(5, 5)","(44, 8)",15,True,False,False,True,True,False,40.243,0
No memory,10,2,3,"(5, 5)","(44, 8)",15,True,False,False,True,True,False,40.243,0
No memory,10,3,1,"(5, 7)","(44, 5)",15,True,False,False,True,True,False,39.828,0
No memory,10,3,2,"(5, 7)","(44, 5)",15,True,False,False,True,True,False,39.828,0
No memory,10,3,3,"(5, 7)","(44, 5)",15,True,False,False,True,True,False,39.828,0
No memory,10,4,1,"(5, 9)","(44, 5)",15,True,False,False,True,True,False,40.657,0
No memory,10,4,2,"(5, 9)","(44, 5)",15,True,False,False,True,True,False,40.657,0
No memory,10,4,3,"(5, 9)","(44, 5)",15,True,False,False,True,True,False,40.657,0
No memory,10,5,1,"(5, 6)","(44, 5)",16,True,False,False,True,True,False,40.243,0
No memory,10,5,2,"(5, 6)","(44, 5)",16,True,False,False,True,True,False,40.243,0
No memory,10,5,3,"(5, 6)","(44, 5)",16,True,False,False,True,True,False,40.243,0
No memory,11,1,1,"(5, 6)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,11,1,2,"(5, 6)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,11,1,3,"(5, 6)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,11,2,1,"(5, 5)","(44, 9)",16,True,False,False,True,True,False,40.657,0
No memory,11,2,2,"(5, 5)","(44, 9)",16,True,False,False,True,True,False,40.657,0
No memory,11,2,3,"(5, 5)","(44, 9)",16,True,False,False,True,True,False,40.657,0
No memory,11,3,1,"(5, 9)","(44, 5)",16,True,False,False,True,True,False,40.657,0
No memory,11,3,2,"(5, 9)","(44, 5)",16,True,False,False,True,True,False,40.657,0
No memory,11,3,3,"(5, 9)","(44, 5)",16,True,False,False,True,True,False,40.657,0
No memory,11,4,1,"(5, 5)","(44, 6)",15,True,False,False,True,True,False,40.243,0
No memory,11,4,2,"(5, 5)","(44, 6)",15,True,False,False,True,True,False,40.243,0
No memory,11,4,3,"(5, 5)","(44, 6)",15,True,False,False,True,True,False,40.243,0
No memory,11,5,1,"(5, 7)","(44, 7)",16,True,False,False,True,True,False,39.0,0
No memory,11,5,2,"(5, 7)","(44, 7)",16,True,False,False,True,True,False,39.0,0
No memory,11,5,3,"(5, 7)","(44, 7)",16,True,False,False,True,True,False,39.0,0
No memory,12,1,1,"(5, 6)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,12,1,2,"(5, 6)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,12,1,3,"(5, 6)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,12,2,1,"(5, 8)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,12,2,2,"(5, 8)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,12,2,3,"(5, 8)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,12,3,1,"(5, 5)","(44, 8)",15,True,False,False,True,True,False,40.243,0
No memory,12,3,2,"(5, 5)","(44, 8)",15,True,False,False,True,True,False,40.243,0
No memory,12,3,3,"(5, 5)","(44, 8)",15,True,False,False,True,True,False,40.243,0
No memory,12,4,1,"(5, 7)","(44, 7)",17,True,False,False,True,True,False,39.0,0
No memory,12,4,2,"(5, 7)","(44, 7)",17,True,False,False,True,True,False,39.0,0
No memory,12,4,3,"(5, 7)","(44, 7)",17,True,False,False,True,True,False,39.0,0
No memory,12,5,1,"(5, 8)","(44, 9)",15,True,False,False,True,True,False,40.243,0
No memory,12,5,2,"(5, 8)","(44, 9)",15,True,False,False,True,True,False,40.243,0
No memory,12,5,3,"(5, 8)","(44, 9)",15,True,False,False,True,True,False,40.243,0
No memory,13,1,1,"(5, 6)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,13,1,2,"(5, 6)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,13,1,3,"(5, 6)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,13,2,1,"(5, 6)","(44, 6)",16,True,False,False,True,True,False,39.828,0
No memory,13,2,2,"(5, 6)","(44, 6)",16,True,False,False,True,True,False,39.828,0
No memory,13,2,3,"(5, 6)","(44, 6)",16,True,False,False,True,True,False,39.828,0
No memory,13,3,1,"(5, 9)","(44, 7)",15,True,False,False,True,True,False,39.828,0
No memory,13,3,2,"(5, 9)","(44, 7)",15,True,False,False,True,True,False,39.828,0
No memory,13,3,3,"(5, 9)","(44, 7)",15,True,False,False,True,True,False,39.828,0
No memory,13,4,1,"(5, 9)","(44, 8)",17,True,False,False,True,True,False,40.243,0
No memory,13,4,2,"(5, 9)","(44, 8)",17,True,False,False,True,True,False,40.243,0
No memory,13,4,3,"(5, 9)","(44, 8)",17,True,False,False,True,True,False,40.243,0
No memory,13,5,1,"(5, 6)","(44, 5)",16,True,False,False,True,True,False,40.243,0
No memory,13,5,2,"(5, 6)","(44, 5)",16,True,False,False,True,True,False,40.243,0
No memory,13,5,3,"(5, 6)","(44, 5)",16,True,False,False,True,True,False,40.243,0
No memory,14,1,1,"(5, 8)","(44, 9)",17,True,False,False,True,True,False,40.243,0
No memory,14,1,2,"(5, 8)","(44, 9)",17,True,False,False,True,True,False,40.243,0
No memory,14,1,3,"(5, 8)","(44, 9)",17,True,False,False,True,True,False,40.243,0
No memory,14,2,1,"(5, 7)","(44, 7)",16,True,False,False,True,True,False,39.0,0
No memory,14,2,2,"(5, 7)","(44, 7)",16,True,False,False,True,True,False,39.0,0
No memory,14,2,3,"(5, 7)","(44, 7)",16,True,False,False,True,True,False,39.0,0
No memory,14,3,1,"(5, 7)","(44, 6)",17,True,False,False,True,True,False,39.414,0
No memory,14,3,2,"(5, 7)","(44, 6)",17,True,False,False,True,True,False,39.414,0
No memory,14,3,3,"(5, 7)","(44, 6)",17,True,False,False,True,True,False,39.414,0
No memory,14,4,1,"(5, 5)","(44, 8)",17,True,False,False,True,True,False,40.243,0
No memory,14,4,2,"(5, 5)","(44, 8)",17,True,False,False,True,True,False,40.243,0
No memory,14,4,3,"(5, 5)","(44, 8)",17,True,False,False,True,True,False,40.243,0
No memory,14,5,1,"(5, 5)","(44, 7)",17,True,False,False,True,True,False,39.828,0
No memory,14,5,2,"(5, 5)","(44, 7)",17,True,False,False,True,True,False,39.828,0
No memory,14,5,3,"(5, 5)","(44, 7)",17,True,False,False,True,True,False,39.828,0
No memory,15,1,1,"(5, 5)","(44, 9)",16,True,False,False,True,True,False,40.657,0
No memory,15,1,2,"(5, 5)","(44, 9)",16,True,False,False,True,True,False,40.657,0
No memory,15,1,3,"(5, 5)","(44, 9)",16,True,False,False,True,True,False,40.657,0
No memory,15,2,1,"(5, 6)","(44, 6)",16,True,False,False,True,True,False,39.828,0
No memory,15,2,2,"(5, 6)","(44, 6)",16,True,False,False,True,True,False,39.828,0
No memory,15,2,3,"(5, 6)","(44, 6)",16,True,False,False,True,True,False,39.828,0
No memory,15,3,1,"(5, 7)","(44, 9)",16,True,False,False,True,True,False,39.828,0
No memory,15,3,2,"(5, 7)","(44, 9)",16,True,False,False,True,True,False,39.828,0
No memory,15,3,3,"(5, 7)","(44, 9)",16,True,False,False,True,True,False,39.828,0
No memory,15,4,1,"(5, 7)","(44, 9)",17,True,False,False,True,True,False,39.828,0
No memory,15,4,2,"(5, 7)","(44, 9)",17,True,False,False,True,True,False,39.828,0
No memory,15,4,3,"(5, 7)","(44, 9)",17,True,False,False,True,True,False,39.828,0
No memory,15,5,1,"(5, 9)","(44, 6)",17,True,False,False,True,True,False,40.243,0
No memory,15,5,2,"(5, 9)","(44, 6)",17,True,False,False,True,True,False,40.243,0
No memory,15,5,3,"(5, 9)","(44, 6)",17,True,False,False,True,True,False,40.243,0
No memory,16,1,1,"(5, 7)","(44, 8)",17,True,False,False,True,True,False,39.414,0
No memory,16,1,2,"(5, 7)","(44, 8)",17,True,False,False,True,True,False,39.414,0
No memory,16,1,3,"(5, 7)","(44, 8)",17,True,False,False,True,True,False,39.414,0
No memory,16,2,1,"(5, 8)","(44, 5)",15,True,False,False,True,True,False,40.243,0
No memory,16,2,2,"(5, 8)","(44, 5)",15,True,False,False,True,True,False,40.243,0
No memory,16,2,3,"(5, 8)","(44, 5)",15,True,False,False,True,True,False,40.243,0
No memory,16,3,1,"(5, 9)","(44, 6)",17,True,False,False,True,True,False,40.243,0
No memory,16,3,2,"(5, 9)","(44, 6)",17,True,False,False,True,True,False,40.243,0
No memory,16,3,3,"(5, 9)","(44, 6)",17,True,False,False,True,True,False,40.243,0
No memory,16,4,1,"(5, 7)","(44, 6)",15,True,False,False,True,True,False,39.414,0
No memory,16,4,2,"(5, 7)","(44, 6)",15,True,False,False,True,True,False,39.414,0
No memory,16,4,3,"(5, 7)","(44, 6)",15,True,False,False,True,True,False,39.414,0
No memory,16,5,1,"(5, 6)","(44, 8)",16,True,False,False,True,True,False,39.828,0
No memory,16,5,2,"(5, 6)","(44, 8)",16,True,False,False,True,True,False,39.828,0
No memory,16,5,3,"(5, 6)","(44, 8)",16,True,False,False,True,True,False,39.828,0
No memory,17,1,1,"(5, 9)","(44, 8)",15,True,False,False,True,True,False,40.243,0
No memory,17,1,2,"(5, 9)","(44, 8)",15,True,False,False,True,True,False,40.243,0
No memory,17,1,3,"(5, 9)","(44, 8)",15,True,False,False,True,True,False,40.243,0
No memory,17,2,1,"(5, 8)","(44, 9)",16,True,False,False,True,True,False,40.243,0
No memory,17,2,2,"(5, 8)","(44, 9)",16,True,False,False,True,True,False,40.243,0
No memory,17,2,3,"(5, 8)","(44, 9)",16,True,False,False,True,True,False,40.243,0
No memory,17,3,1,"(5, 5)","(44, 6)",16,True,False,False,True,True,False,40.243,0
No memory,17,3,2,"(5, 5)","(44, 6)",16,True,False,False,True,True,False,40.243,0
No memory,17,3,3,"(5, 5)","(44, 6)",16,True,False,False,True,True,False,40.243,0
No memory,17,4,1,"(5, 5)","(44, 7)",17,True,False,False,True,True,False,39.828,0
No memory,17,4,2,"(5, 5)","(44, 7)",17,True,False,False,True,True,False,39.828,0
No memory,17,4,3,"(5, 5)","(44, 7)",17,True,False,False,True,True,False,39.828,0
No memory,17,5,1,"(5, 6)","(44, 8)",17,True,False,False,True,True,False,39.828,0
No memory,17,5,2,"(5, 6)","(44, 8)",17,True,False,False,True,True,False,39.828,0
No memory,17,5,3,"(5, 6)","(44, 8)",17,True,False,False,True,True,False,39.828,0
No memory,18,1,1,"(5, 8)","(44, 9)",17,True,False,False,True,True,False,40.243,0
No memory,18,1,2,"(5, 8)","(44, 9)",17,True,False,False,True,True,False,40.243,0
No memory,18,1,3,"(5, 8)","(44, 9)",17,True,False,False,True,True,False,40.243,0
No memory,18,2,1,"(5, 5)","(44, 5)",16,True,False,False,True,True,False,40.657,0
No memory,18,2,2,"(5, 5)","(44, 5)",16,True,False,False,True,True,False,40.657,0
No memory,18,2,3,"(5, 5)","(44, 5)",16,True,False,False,True,True,False,40.657,0
No memory,18,3,1,"(5, 7)","(44, 7)",16,True,False,False,True,True,False,39.0,0
No memory,18,3,2,"(5, 7)","(44, 7)",16,True,False,False,True,True,False,39.0,0
No memory,18,3,3,"(5, 7)","(44, 7)",16,True,False,False,True,True,False,39.0,0
No memory,18,4,1,"(5, 5)","(44, 8)",15,True,False,False,True,True,False,40.243,0
No memory,18,4,2,"(5, 5)","(44, 8)",15,True,False,False,True,True,False,40.243,0
No memory,18,4,3,"(5, 5)","(44, 8)",15,True,False,False,True,True,False,40.243,0
No memory,18,5,1,"(5, 9)","(44, 5)",17,True,False,False,True,True,False,40.657,0
No memory,18,5,2,"(5, 9)","(44, 5)",17,True,False,False,True,True,False,40.657,0
No memory,18,5,3,"(5, 9)","(44, 5)",17,True,False,False,True,True,False,40.657,0
No memory,19,1,1,"(5, 6)","(44, 5)",16,True,False,False,True,True,False,40.243,0
No memory,19,1,2,"(5, 6)","(44, 5)",16,True,False,False,True,True,False,40.243,0
No memory,19,1,3,"(5, 6)","(44, 5)",16,True,False,False,True,True,False,40.243,0
No memory,19,2,1,"(5, 8)","(44, 7)",15,True,False,False,True,True,False,39.414,0
No memory,19,2,2,"(5, 8)","(44, 7)",15,True,False,False,True,True,False,39.414,0
No memory,19,2,3,"(5, 8)","(44, 7)",15,True,False,False,True,True,False,39.414,0
No memory,19,3,1,"(5, 6)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,19,3,2,"(5, 6)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,19,3,3,"(5, 6)","(44, 5)",17,True,False,False,True,True,False,40.243,0
No memory,19,4,1,"(5, 5)","(44, 9)",17,True,False,False,True,True,False,40.657,0
No memory,19,4,2,"(5, 5)","(44, 9)",17,True,False,False,True,True,False,40.657,0
No memory,19,4,3,"(5, 5)","(44, 9)",17,True,False,False,True,True,False,40.657,0
No memory,19,5,1,"(5, 5)","(44, 6)",15,True,False,False,True,True,False,40.243,0
No memory,19,5,2,"(5, 5)","(44, 6)",15,True,False,False,True,True,False,40.243,0
No memory,19,5,3,"(5, 5)","(44, 6)",15,True,False,False,True,True,False,40.243,0
No memory,20,1,1,"(5, 9)","(44, 6)",16,True,False,False,True,True,False,40.243,0
No memory,20,1,2,"(5, 9)","(44, 6)",16,True,False,False,True,True,False,40.243,0
No memory,20,1,3,"(5, 9)","(44, 6)",16,True,False,False,True,True,False,40.243,0
No memory,20,2,1,"(5, 7)","(44, 6)",15,True,False,False,True,True,False,39.414,0
No memory,20,2,2,"(5, 7)","(44, 6)",15,True,False,False,True,True,False,39.414,0
No memory,20,2,3,"(5, 7)","(44, 6)",15,True,False,False,True,True,False,39.414,0
No memory,20,3,1,"(5, 8)","(44, 8)",17,True,False,False,True,True,False,39.828,0
